iter	RMSE
0	35.75159879
1	34.90844569
2	34.16464567
3	33.47411869
4	32.83867686
5	32.22665979
6	31.66019572
7	31.16349832
8	30.64048748
9	30.13814032
10	29.63693207
11	29.17609502
12	28.75441571
13	28.37901818
14	28.01926126
15	27.67873761
16	27.37114469
17	27.08259081
18	26.81511367
19	26.58110309
20	26.35259863
21	26.08825319
22	25.8801566
23	25.66987023
24	25.48920557
25	25.31097087
26	25.13591361
27	24.98554007
28	24.75748216
29	24.59452363
30	24.42030669
31	24.28170336
32	24.14920266
33	24.03432207
34	23.89906819
35	23.81259321
36	23.70928952
37	23.57357691
38	23.4540853
39	23.3647287
40	23.27357263
41	23.18083731
42	23.08763033
43	22.99815457
44	22.93376424
45	22.84491045
46	22.77459264
47	22.70697835
48	22.6239745
49	22.57160473
50	22.51646074
51	22.43860113
52	22.38623773
53	22.29415258
54	22.23400707
55	22.16713443
56	22.10011993
57	22.04807705
58	21.98769702
59	21.94559367
60	21.89082486
61	21.85127211
62	21.79367716
63	21.75811173
64	21.70420843
65	21.6372899
66	21.58759825
67	21.55557409
68	21.50347102
69	21.44669439
70	21.4275284
71	21.38422512
72	21.35714098
73	21.32544134
74	21.26589834
75	21.22423105
76	21.18514409
77	21.1566743
78	21.12903133
79	21.09114481
80	21.05336091
81	21.02730602
82	20.98311941
83	20.94265643
84	20.89618166
85	20.86833769
86	20.83865713
87	20.80556184
88	20.77305509
89	20.73911419
90	20.71298234
91	20.68652091
92	20.66077711
93	20.62022085
94	20.60676013
95	20.57673709
96	20.54458966
97	20.52940788
98	20.49996539
99	20.46816424
100	20.42921328
101	20.37954156
102	20.36369995
103	20.33229064
104	20.31050967
105	20.28408915
106	20.25761068
107	20.22693769
108	20.2117783
109	20.17621149
110	20.1580115
111	20.13766502
112	20.11409785
113	20.08425555
114	20.05490311
115	20.03642812
116	20.01760719
117	19.99263466
118	19.97734422
119	19.9556058
120	19.93860873
121	19.91792889
122	19.89948587
123	19.87460598
124	19.84908901
125	19.82673286
126	19.80642705
127	19.7784252
128	19.77450467
129	19.75160742
130	19.72816682
131	19.70861503
132	19.68291557
133	19.662956
134	19.63577479
135	19.61736042
136	19.59825248
137	19.57844192
138	19.54752564
139	19.5301506
140	19.51344497
141	19.49368784
142	19.469676
143	19.45307824
144	19.43806887
145	19.41361593
146	19.39353717
147	19.38119973
148	19.35627653
149	19.33114936
150	19.31938855
151	19.30365912
152	19.29181939
153	19.27161142
154	19.25348211
155	19.24275603
156	19.21622934
157	19.19701831
158	19.17849438
159	19.15056717
160	19.14209872
161	19.11789608
162	19.10754188
163	19.0850329
164	19.07243484
165	19.04094654
166	19.02924796
167	19.01837506
168	18.99955687
169	18.97583323
170	18.95941791
171	18.93486792
172	18.90707998
173	18.88650755
174	18.86286352
175	18.8309705
176	18.82404748
177	18.81237804
178	18.79338509
179	18.77875641
180	18.76303847
181	18.75383709
182	18.74200448
183	18.72565275
184	18.70522481
185	18.68074413
186	18.67668832
187	18.65455543
188	18.6402788
189	18.63867712
190	18.60990213
191	18.59796038
192	18.5673271
193	18.55361005
194	18.54080343
195	18.53124795
196	18.52310038
197	18.52035111
198	18.48630852
199	18.45619529
200	18.44281596
201	18.4199925
202	18.4071702
203	18.38892073
204	18.35775854
205	18.33845074
206	18.32407847
207	18.29730214
208	18.29619854
209	18.27685896
210	18.24262276
211	18.23529201
212	18.21071745
213	18.20902849
214	18.18780783
215	18.17235831
216	18.15069843
217	18.12679991
218	18.09752449
219	18.07902307
220	18.0625803
221	18.0480943
222	18.02962501
223	18.01589536
224	17.99532478
225	17.9699286
226	17.94323417
227	17.91902485
228	17.89270248
229	17.8688469
230	17.84427154
231	17.82626065
232	17.80145547
233	17.78248815
